object_type,top_n,injected_cases_total,injected_cases_found,recall_at_n,found_object_ids
merchant,5,6,5,0.8333,"M0016, M0058, M0079, M0090, M0110"
merchant,10,6,6,1.0,"M0016, M0058, M0079, M0080, M0090, M0110"
merchant,20,6,6,1.0,"M0016, M0058, M0079, M0080, M0090, M0110"
user,5,12,5,0.4167,"U00066, U00144, U00210, U00393, U00534"
user,10,12,10,0.8333,"U00066, U00143, U00144, U00210, U00265, U00351, U00393, U00438, U00534, U00755"
user,20,12,12,1.0,"U00066, U00143, U00144, U00210, U00265, U00291, U00351, U00393, U00438, U00534, U00569, U00755"
